"","blue","dual_sim","four_g","three_g","touch_screen","wifi","battery_power","clock_speed","fc","int_memory","m_dep","mobile_wt","n_cores","pc","px_height","px_width","ram","sc_h","sc_w","talk_time","price_range"
"1208","0","0","0","0","0","0","(601,701]","(1.5,2]","[-0.019,3.8]","(14.4,20.6]","(0.64,0.82]","(140,152]","(2.75,4.5]","(4,8]","[-1.96,392]","[499,650]","(630,1e+03]","(16.2,19]","(3.6,7.2]","(11,14]","0"
"1212","1","0","1","1","1","1","(701,800]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","(0.28,0.46]","(176,188]","(6.25,8.01]","(8,12]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0"
"1220","0","1","1","1","0","0","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.64,0.82]","(128,140]","(2.75,4.5]","(16,20]","(392,784]","(650,800]","(630,1e+03]","(16.2,19]","(14.4,18]","(14,17]","0"
"1225","0","0","1","1","1","0","(1.5e+03,1.6e+03]","(2.5,3]","[-0.019,3.8]","(51.6,57.8]","(0.82,1]","(176,188]","(2.75,4.5]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.55e+03,1.7e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","(17,20]","0"
"1226","0","1","1","1","0","1","(701,800]","[0.497,1]","(3.8,7.6]","[1.94,8.2]","(0.28,0.46]","(188,200]","(2.75,4.5]","(8,12]","(1.18e+03,1.57e+03]","(1.85e+03,2e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(5,8]","0"
"1231","0","1","1","1","1","1","(601,701]","(2.5,3]","(3.8,7.6]","(14.4,20.6]","(0.28,0.46]","(164,176]","[0.993,2.75]","(4,8]","(392,784]","(1.4e+03,1.55e+03]","[252,630]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","0"
"1232","1","1","0","0","1","0","(701,800]","[0.497,1]","(3.8,7.6]","(8.2,14.4]","(0.46,0.64]","(188,200]","[0.993,2.75]","(4,8]","[-1.96,392]","(1.1e+03,1.25e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","(14,17]","0"
"1236","1","1","0","1","1","0","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(176,188]","(6.25,8.01]","(16,20]","(392,784]","(800,949]","[252,630]","(7.8,10.6]","(3.6,7.2]","(14,17]","0"
"1237","1","1","1","1","0","1","(1.7e+03,1.8e+03]","[0.497,1]","(3.8,7.6]","(51.6,57.8]","(0.46,0.64]","[79.9,92]","(6.25,8.01]","(4,8]","[-1.96,392]","[499,650]","[252,630]","(13.4,16.2]","(3.6,7.2]","(11,14]","0"
"1238","1","0","1","1","1","1","(1.5e+03,1.6e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(13.4,16.2]","(3.6,7.2]","(14,17]","0"
"1241","1","1","1","1","1","0","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","[1.94,8.2]","(0.46,0.64]","[79.9,92]","(6.25,8.01]","[-0.02,4]","(392,784]","(650,800]","[252,630]","(10.6,13.4]","(7.2,10.8]","(5,8]","0"
"1249","0","0","1","1","0","1","(1.9e+03,2e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(116,128]","(4.5,6.25]","(8,12]","(784,1.18e+03]","(800,949]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(5,8]","0"
"1254","0","1","0","1","0","1","(701,800]","(2,2.5]","[-0.019,3.8]","(45.4,51.6]","(0.46,0.64]","(92,104]","(4.5,6.25]","[-0.02,4]","(784,1.18e+03]","(1.7e+03,1.85e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"1255","0","0","0","1","1","1","(1e+03,1.1e+03]","[0.497,1]","(3.8,7.6]","(51.6,57.8]","(0.82,1]","(116,128]","[0.993,2.75]","(16,20]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(630,1e+03]","(16.2,19]","(14.4,18]","(17,20]","0"
"1261","0","0","0","1","0","0","(1e+03,1.1e+03]","(1,1.5]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(176,188]","[0.993,2.75]","(16,20]","(392,784]","[499,650]","[252,630]","(13.4,16.2]","(10.8,14.4]","(11,14]","0"
"1264","0","0","0","0","1","1","(701,800]","(1.5,2]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(116,128]","[0.993,2.75]","(8,12]","(784,1.18e+03]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"1271","0","0","0","0","0","1","(1e+03,1.1e+03]","(2.5,3]","(3.8,7.6]","(39.2,45.4]","(0.82,1]","(116,128]","(4.5,6.25]","(16,20]","(392,784]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(16.2,19]","[-0.018,3.6]","(11,14]","0"
"1273","0","1","1","1","0","1","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","[79.9,92]","[0.993,2.75]","(4,8]","(784,1.18e+03]","(1.4e+03,1.55e+03]","[252,630]","(16.2,19]","(3.6,7.2]","[1.98,5]","0"
"1278","0","0","0","1","1","0","(1.5e+03,1.6e+03]","(2,2.5]","[-0.019,3.8]","(33,39.2]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","[499,650]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","(11,14]","0"
"1279","0","0","0","0","0","0","(800,900]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","[0.0991,0.28]","(104,116]","(6.25,8.01]","(4,8]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"1287","1","0","1","1","1","0","[500,601]","(1.5,2]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(164,176]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(1.55e+03,1.7e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"1291","1","1","1","1","1","1","(900,1e+03]","(2.5,3]","(3.8,7.6]","(45.4,51.6]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","(8,12]","(784,1.18e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0"
"1293","0","0","1","1","0","1","(1.3e+03,1.4e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.28,0.46]","(116,128]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(949,1.1e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(3.6,7.2]","(11,14]","0"
"1295","1","0","1","1","1","1","[500,601]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","(0.64,0.82]","(140,152]","(6.25,8.01]","[-0.02,4]","(392,784]","(1.85e+03,2e+03]","[252,630]","(13.4,16.2]","(7.2,10.8]","(5,8]","0"
"1300","0","0","0","1","0","0","(800,900]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(176,188]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.4e+03,1.55e+03]","[252,630]","(13.4,16.2]","(3.6,7.2]","(14,17]","0"
"1303","0","0","0","1","1","1","(1.9e+03,2e+03]","(2.5,3]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(152,164]","(4.5,6.25]","(12,16]","[-1.96,392]","(949,1.1e+03]","(630,1e+03]","(13.4,16.2]","(10.8,14.4]","(14,17]","0"
"1308","0","1","1","1","1","1","(800,900]","(1.5,2]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(176,188]","(4.5,6.25]","(8,12]","(392,784]","[499,650]","(1.38e+03,1.75e+03]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"1315","1","0","1","1","0","0","(1.9e+03,2e+03]","[0.497,1]","(3.8,7.6]","(39.2,45.4]","(0.46,0.64]","(128,140]","[0.993,2.75]","(16,20]","[-1.96,392]","(1.55e+03,1.7e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(11,14]","0"
"1323","0","0","0","0","1","0","(800,900]","(1.5,2]","(3.8,7.6]","(14.4,20.6]","(0.64,0.82]","(176,188]","(4.5,6.25]","(12,16]","(392,784]","(949,1.1e+03]","(1.38e+03,1.75e+03]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"1326","0","0","0","0","1","1","(900,1e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","(0.82,1]","(176,188]","(2.75,4.5]","(4,8]","(392,784]","(650,800]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","(5,8]","0"
"1349","1","1","1","1","1","0","(1.4e+03,1.5e+03]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(188,200]","(2.75,4.5]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","[252,630]","(13.4,16.2]","(10.8,14.4]","(11,14]","0"
"1361","0","1","1","1","0","1","(800,900]","[0.497,1]","(7.6,11.4]","(26.8,33]","[0.0991,0.28]","(140,152]","(4.5,6.25]","(12,16]","[-1.96,392]","(800,949]","(630,1e+03]","(16.2,19]","(10.8,14.4]","(5,8]","0"
"1362","1","1","1","1","0","0","(1.5e+03,1.6e+03]","(1,1.5]","[-0.019,3.8]","(26.8,33]","(0.28,0.46]","(104,116]","(4.5,6.25]","(4,8]","(392,784]","(1.1e+03,1.25e+03]","[252,630]","(7.8,10.6]","(7.2,10.8]","(8,11]","0"
"1363","0","1","1","1","1","0","(1.9e+03,2e+03]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","(0.64,0.82]","[79.9,92]","[0.993,2.75]","(12,16]","[-1.96,392]","[499,650]","(630,1e+03]","[4.99,7.8]","(3.6,7.2]","(8,11]","0"
"1364","0","0","0","0","1","0","(701,800]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.46,0.64]","(104,116]","[0.993,2.75]","(4,8]","[-1.96,392]","[499,650]","(1e+03,1.38e+03]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"1369","1","0","0","0","0","0","[500,601]","(2,2.5]","(3.8,7.6]","(45.4,51.6]","(0.28,0.46]","(188,200]","(6.25,8.01]","(16,20]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","(10.6,13.4]","[-0.018,3.6]","(11,14]","0"
"1371","0","0","1","1","0","0","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(14.4,20.6]","(0.64,0.82]","(164,176]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(16.2,19]","(3.6,7.2]","(11,14]","0"
"1374","1","1","0","1","1","0","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(51.6,57.8]","[0.0991,0.28]","(92,104]","(4.5,6.25]","(4,8]","[-1.96,392]","(1.1e+03,1.25e+03]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","[1.98,5]","0"
"1377","0","1","0","1","1","0","[500,601]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","[79.9,92]","(2.75,4.5]","[-0.02,4]","(784,1.18e+03]","(949,1.1e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","0"
"1379","0","1","1","1","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.46,0.64]","(128,140]","[0.993,2.75]","[-0.02,4]","[-1.96,392]","[499,650]","[252,630]","(16.2,19]","[-0.018,3.6]","(5,8]","0"
"1383","0","1","0","0","1","1","(1.4e+03,1.5e+03]","(2.5,3]","[-0.019,3.8]","(45.4,51.6]","[0.0991,0.28]","(92,104]","(6.25,8.01]","(4,8]","[-1.96,392]","(1.25e+03,1.4e+03]","(630,1e+03]","(16.2,19]","[-0.018,3.6]","(14,17]","0"
"1384","0","1","0","1","0","1","(1.7e+03,1.8e+03]","[0.497,1]","(11.4,15.2]","(8.2,14.4]","[0.0991,0.28]","(176,188]","(2.75,4.5]","(16,20]","[-1.96,392]","(1.85e+03,2e+03]","(630,1e+03]","(16.2,19]","(10.8,14.4]","(11,14]","0"
"1390","0","1","0","1","0","0","(1.8e+03,1.9e+03]","[0.497,1]","(3.8,7.6]","(51.6,57.8]","(0.82,1]","(116,128]","(4.5,6.25]","(8,12]","[-1.96,392]","(1.7e+03,1.85e+03]","[252,630]","(13.4,16.2]","(7.2,10.8]","(8,11]","0"
"1393","1","1","0","0","0","0","(1.6e+03,1.7e+03]","[0.497,1]","(3.8,7.6]","(26.8,33]","(0.64,0.82]","(176,188]","(4.5,6.25]","(4,8]","(392,784]","(949,1.1e+03]","(630,1e+03]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"1394","1","1","0","0","0","0","(1.4e+03,1.5e+03]","(2,2.5]","[-0.019,3.8]","[1.94,8.2]","(0.82,1]","(92,104]","[0.993,2.75]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","(630,1e+03]","(16.2,19]","(3.6,7.2]","(8,11]","0"
"1395","0","1","1","1","1","1","(1e+03,1.1e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.82,1]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","[499,650]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","(11,14]","0"
"1396","1","0","0","1","0","0","(1.2e+03,1.3e+03]","(2,2.5]","(7.6,11.4]","(26.8,33]","[0.0991,0.28]","(164,176]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.7e+03,1.85e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","(17,20]","0"
"1398","0","1","1","1","0","0","(701,800]","(1,1.5]","[-0.019,3.8]","(8.2,14.4]","[0.0991,0.28]","(92,104]","(6.25,8.01]","(4,8]","(1.57e+03,1.96e+03]","(1.85e+03,2e+03]","[252,630]","(13.4,16.2]","(14.4,18]","(17,20]","0"
"1399","0","1","1","1","0","0","(1.5e+03,1.6e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","(152,164]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(800,949]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
"1400","0","0","1","1","0","0","(601,701]","[0.497,1]","(3.8,7.6]","(33,39.2]","[0.0991,0.28]","(92,104]","(6.25,8.01]","(16,20]","(392,784]","(1.25e+03,1.4e+03]","(1.38e+03,1.75e+03]","(13.4,16.2]","(3.6,7.2]","(5,8]","0"
"1402","0","0","1","1","0","1","(900,1e+03]","[0.497,1]","(3.8,7.6]","(51.6,57.8]","[0.0991,0.28]","(116,128]","(6.25,8.01]","(4,8]","[-1.96,392]","(1.55e+03,1.7e+03]","(1e+03,1.38e+03]","[4.99,7.8]","(3.6,7.2]","[1.98,5]","0"
"1405","0","0","0","0","0","1","(1.4e+03,1.5e+03]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.64,0.82]","(176,188]","[0.993,2.75]","(4,8]","(784,1.18e+03]","(949,1.1e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(17,20]","0"
"1409","1","1","1","1","0","1","(1.7e+03,1.8e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.46,0.64]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(650,800]","[252,630]","(16.2,19]","(7.2,10.8]","(14,17]","0"
"1410","0","1","1","1","0","1","(800,900]","(2,2.5]","(3.8,7.6]","(51.6,57.8]","(0.82,1]","(92,104]","[0.993,2.75]","(8,12]","(784,1.18e+03]","(949,1.1e+03]","(1e+03,1.38e+03]","(10.6,13.4]","[-0.018,3.6]","(11,14]","0"
"1413","0","0","1","1","1","0","(900,1e+03]","[0.497,1]","(3.8,7.6]","(14.4,20.6]","(0.46,0.64]","[79.9,92]","[0.993,2.75]","(16,20]","(784,1.18e+03]","(800,949]","(1e+03,1.38e+03]","(13.4,16.2]","(10.8,14.4]","(14,17]","0"
"1417","0","1","0","1","1","1","(1.4e+03,1.5e+03]","[0.497,1]","(15.2,19]","[1.94,8.2]","[0.0991,0.28]","(92,104]","(4.5,6.25]","(16,20]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(17,20]","0"
"1420","0","1","0","0","0","1","(800,900]","[0.497,1]","[-0.019,3.8]","(57.8,64.1]","(0.28,0.46]","(152,164]","(2.75,4.5]","[-0.02,4]","(392,784]","(650,800]","(1e+03,1.38e+03]","(16.2,19]","(3.6,7.2]","(14,17]","0"
"1421","0","1","0","0","0","0","(900,1e+03]","(2.5,3]","(3.8,7.6]","(14.4,20.6]","(0.46,0.64]","(140,152]","(4.5,6.25]","(4,8]","(784,1.18e+03]","(1.4e+03,1.55e+03]","[252,630]","(16.2,19]","(14.4,18]","(14,17]","0"
"1433","0","0","1","1","0","0","(601,701]","(1.5,2]","(7.6,11.4]","(8.2,14.4]","(0.46,0.64]","(176,188]","(6.25,8.01]","(12,16]","[-1.96,392]","(1.4e+03,1.55e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","(11,14]","0"
"1435","1","1","0","1","0","1","(1.8e+03,1.9e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.82,1]","(104,116]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","[252,630]","(16.2,19]","(10.8,14.4]","(17,20]","0"
"1437","1","1","0","0","0","1","[500,601]","(2.5,3]","(3.8,7.6]","(14.4,20.6]","(0.64,0.82]","(140,152]","[0.993,2.75]","(4,8]","(784,1.18e+03]","(1.4e+03,1.55e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","(14,17]","0"
"1438","0","1","0","0","1","0","(1.9e+03,2e+03]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","(0.46,0.64]","(152,164]","(2.75,4.5]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","(630,1e+03]","(13.4,16.2]","[-0.018,3.6]","(17,20]","0"
"1439","0","0","1","1","1","0","(900,1e+03]","(1.5,2]","(7.6,11.4]","(26.8,33]","(0.28,0.46]","[79.9,92]","(2.75,4.5]","(16,20]","(784,1.18e+03]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","(3.6,7.2]","(8,11]","0"
"1440","0","1","1","1","0","1","(1e+03,1.1e+03]","(2,2.5]","(3.8,7.6]","(20.6,26.8]","(0.64,0.82]","(128,140]","(2.75,4.5]","(4,8]","[-1.96,392]","(949,1.1e+03]","(630,1e+03]","(16.2,19]","(3.6,7.2]","(5,8]","0"
"1444","1","0","1","1","1","1","(1.1e+03,1.2e+03]","(2,2.5]","[-0.019,3.8]","(26.8,33]","[0.0991,0.28]","[79.9,92]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","[499,650]","[252,630]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"1447","1","1","0","0","1","1","(1.1e+03,1.2e+03]","(1,1.5]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(188,200]","(6.25,8.01]","(4,8]","(392,784]","(800,949]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","0"
"1448","0","1","1","1","0","1","(1e+03,1.1e+03]","(2.5,3]","(15.2,19]","(8.2,14.4]","(0.28,0.46]","(176,188]","(4.5,6.25]","(16,20]","[-1.96,392]","[499,650]","(630,1e+03]","(7.8,10.6]","(3.6,7.2]","(17,20]","0"
"1451","1","0","1","1","1","1","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(51.6,57.8]","(0.64,0.82]","(128,140]","(2.75,4.5]","(4,8]","(392,784]","(1.1e+03,1.25e+03]","[252,630]","(16.2,19]","(7.2,10.8]","(11,14]","0"
"1462","1","0","1","1","1","0","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(8.2,14.4]","(0.28,0.46]","(188,200]","(4.5,6.25]","(4,8]","(784,1.18e+03]","(1.7e+03,1.85e+03]","(630,1e+03]","(10.6,13.4]","(3.6,7.2]","[1.98,5]","0"
"1465","1","0","1","1","1","1","(701,800]","(1.5,2]","[-0.019,3.8]","(14.4,20.6]","(0.82,1]","(140,152]","(2.75,4.5]","(8,12]","(784,1.18e+03]","(1.7e+03,1.85e+03]","(630,1e+03]","(13.4,16.2]","(10.8,14.4]","(5,8]","0"
"1470","0","0","1","1","1","1","(701,800]","(2,2.5]","[-0.019,3.8]","(39.2,45.4]","(0.64,0.82]","(92,104]","(2.75,4.5]","(16,20]","[-1.96,392]","(949,1.1e+03]","(1e+03,1.38e+03]","(13.4,16.2]","(10.8,14.4]","[1.98,5]","0"
"1478","1","0","0","1","1","0","(1.1e+03,1.2e+03]","(2.5,3]","[-0.019,3.8]","(33,39.2]","(0.28,0.46]","(140,152]","(6.25,8.01]","[-0.02,4]","(392,784]","(800,949]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"1486","1","0","0","1","0","0","(701,800]","(2,2.5]","[-0.019,3.8]","(20.6,26.8]","(0.64,0.82]","(92,104]","(6.25,8.01]","[-0.02,4]","(784,1.18e+03]","(800,949]","[252,630]","(10.6,13.4]","(7.2,10.8]","(5,8]","0"
"1490","1","1","1","1","0","0","(701,800]","(1,1.5]","(3.8,7.6]","[1.94,8.2]","(0.46,0.64]","(128,140]","(6.25,8.01]","(4,8]","(392,784]","(1.7e+03,1.85e+03]","[252,630]","[4.99,7.8]","(3.6,7.2]","(14,17]","0"
"1493","1","1","1","1","1","1","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(128,140]","[0.993,2.75]","(12,16]","(392,784]","(1.25e+03,1.4e+03]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"1494","1","1","1","1","0","0","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(45.4,51.6]","[0.0991,0.28]","(116,128]","(6.25,8.01]","(8,12]","[-1.96,392]","(949,1.1e+03]","(1e+03,1.38e+03]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0"
"1495","1","1","1","1","0","1","[500,601]","(1.5,2]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(116,128]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.25e+03,1.4e+03]","(1e+03,1.38e+03]","(7.8,10.6]","(3.6,7.2]","[1.98,5]","0"
"1496","0","0","1","1","1","0","(1.4e+03,1.5e+03]","(2.5,3]","(3.8,7.6]","(14.4,20.6]","(0.28,0.46]","(164,176]","[0.993,2.75]","(4,8]","(392,784]","(800,949]","(630,1e+03]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"1497","1","0","1","1","1","0","(1.8e+03,1.9e+03]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(176,188]","(6.25,8.01]","(16,20]","(392,784]","(800,949]","[252,630]","(7.8,10.6]","[-0.018,3.6]","(14,17]","0"
"1506","0","1","1","1","0","0","(800,900]","(1.5,2]","(3.8,7.6]","[1.94,8.2]","(0.64,0.82]","(152,164]","(4.5,6.25]","(8,12]","(392,784]","(1.25e+03,1.4e+03]","[252,630]","[4.99,7.8]","(3.6,7.2]","(17,20]","0"
"1514","0","1","1","1","1","1","(1.3e+03,1.4e+03]","(2,2.5]","(3.8,7.6]","(8.2,14.4]","(0.82,1]","[79.9,92]","(6.25,8.01]","(8,12]","(784,1.18e+03]","(1.1e+03,1.25e+03]","[252,630]","(16.2,19]","(3.6,7.2]","(8,11]","0"
"1516","0","0","1","1","0","1","[500,601]","(2.5,3]","[-0.019,3.8]","(14.4,20.6]","(0.28,0.46]","(116,128]","[0.993,2.75]","(16,20]","(392,784]","(800,949]","(1.38e+03,1.75e+03]","(16.2,19]","(10.8,14.4]","[1.98,5]","0"
"1524","0","0","1","1","1","1","(1.6e+03,1.7e+03]","(2,2.5]","[-0.019,3.8]","(33,39.2]","(0.64,0.82]","[79.9,92]","[0.993,2.75]","[-0.02,4]","(392,784]","(800,949]","[252,630]","(13.4,16.2]","(7.2,10.8]","[1.98,5]","0"
"1531","1","1","1","1","0","1","[500,601]","(1.5,2]","(3.8,7.6]","(57.8,64.1]","(0.46,0.64]","(92,104]","(4.5,6.25]","(8,12]","[-1.96,392]","(1.4e+03,1.55e+03]","[252,630]","(16.2,19]","(7.2,10.8]","(8,11]","0"
"1534","1","0","1","1","1","0","(601,701]","[0.497,1]","[-0.019,3.8]","(33,39.2]","(0.64,0.82]","[79.9,92]","(4.5,6.25]","(8,12]","(784,1.18e+03]","(1.7e+03,1.85e+03]","[252,630]","(7.8,10.6]","[-0.018,3.6]","[1.98,5]","0"
"1540","1","1","0","1","1","1","(800,900]","[0.497,1]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(140,152]","(6.25,8.01]","(4,8]","(392,784]","(800,949]","(630,1e+03]","(16.2,19]","(14.4,18]","(14,17]","0"
"1554","0","1","1","1","1","1","(800,900]","(1.5,2]","[-0.019,3.8]","(14.4,20.6]","[0.0991,0.28]","(152,164]","(4.5,6.25]","[-0.02,4]","[-1.96,392]","(1.4e+03,1.55e+03]","(1e+03,1.38e+03]","(16.2,19]","(14.4,18]","[1.98,5]","0"
"1556","0","0","0","1","1","0","(1.1e+03,1.2e+03]","[0.497,1]","[-0.019,3.8]","(39.2,45.4]","(0.82,1]","(188,200]","(4.5,6.25]","[-0.02,4]","(1.18e+03,1.57e+03]","(1.25e+03,1.4e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","(17,20]","0"
"1559","0","1","1","1","0","1","(701,800]","[0.497,1]","(11.4,15.2]","(51.6,57.8]","[0.0991,0.28]","(104,116]","(2.75,4.5]","(16,20]","(1.18e+03,1.57e+03]","(1.7e+03,1.85e+03]","(630,1e+03]","(13.4,16.2]","(7.2,10.8]","(17,20]","0"
"1565","1","0","0","1","0","0","(1.2e+03,1.3e+03]","[0.497,1]","[-0.019,3.8]","(20.6,26.8]","(0.46,0.64]","(176,188]","(4.5,6.25]","(12,16]","(392,784]","(1.4e+03,1.55e+03]","[252,630]","(7.8,10.6]","(3.6,7.2]","(11,14]","0"
"1566","0","0","1","1","0","1","(1e+03,1.1e+03]","[0.497,1]","[-0.019,3.8]","(33,39.2]","(0.82,1]","(116,128]","(2.75,4.5]","[-0.02,4]","(392,784]","(800,949]","(1e+03,1.38e+03]","(13.4,16.2]","[-0.018,3.6]","(8,11]","0"
"1567","0","0","0","1","1","1","(1.3e+03,1.4e+03]","(1,1.5]","(3.8,7.6]","(8.2,14.4]","[0.0991,0.28]","(152,164]","[0.993,2.75]","(8,12]","(392,784]","[499,650]","[252,630]","[4.99,7.8]","[-0.018,3.6]","(8,11]","0"
"1571","1","1","1","1","1","0","(1.5e+03,1.6e+03]","(1.5,2]","[-0.019,3.8]","(26.8,33]","(0.64,0.82]","(116,128]","[0.993,2.75]","(4,8]","(784,1.18e+03]","(1.4e+03,1.55e+03]","[252,630]","(10.6,13.4]","(7.2,10.8]","(14,17]","0"
"1574","1","1","1","1","1","1","(701,800]","(1.5,2]","[-0.019,3.8]","(39.2,45.4]","(0.28,0.46]","(116,128]","(6.25,8.01]","[-0.02,4]","[-1.96,392]","(1.1e+03,1.25e+03]","(1e+03,1.38e+03]","(10.6,13.4]","(7.2,10.8]","[1.98,5]","0"
